player_fantasy_avg,over_under,vegas_line,f_points_earned
2.57,49.5,6.0,0.0
0.7,49.5,6.0,0.0
12.646153846153847,49.5,6.0,7.1
17.857846153846154,49.5,-6.0,21.279999999999998
2.8600000000000003,49.5,-6.0,6.9
3.1,49.5,-6.0,3.1
12.425384615384615,49.5,-6.0,5.6
4.662307692307692,49.5,-6.0,1.9
7.97,49.5,-6.0,10.3
2.893076923076923,49.5,-6.0,6.6
2.226153846153846,49.5,-6.0,2.2
4.003076923076923,49.5,-6.0,1.1
19.732,50.0,10.0,48.28
7.923846153846153,50.0,10.0,6.9
0.6799999999999999,50.0,10.0,0.6
2.516153846153846,50.0,10.0,0.30000000000000004
11.279999999999998,50.0,10.0,14.7
9.777272727272727,50.0,10.0,14.6
8.65,50.0,10.0,5.4
6.9923076923076914,50.0,10.0,4.1
7.213846153846153,50.0,10.0,2.7
0.06999999999999999,50.0,10.0,0.0
4.405384615384615,50.0,10.0,0.0
20.856,50.0,-10.0,29.56
17.41923076923077,50.0,-10.0,38.1
0.81,50.0,-10.0,-1.1
6.529999999999999,50.0,-10.0,7.3
12.754615384615384,50.0,-10.0,16.0
3.513076923076923,50.0,-10.0,4.4
1.6730769230769231,50.0,-10.0,2.0
1.6915384615384617,50.0,-10.0,1.5
5.09,50.0,-10.0,0.0
0.03,50.0,-10.0,0.0
1.153076923076923,50.0,-10.0,0.0
12.672,46.5,6.0,9.04
10.273333333333333,46.5,6.0,5.1
3.6918181818181814,46.5,6.0,1.7999999999999998
10.406153846153847,46.5,6.0,9.0
6.21,46.5,6.0,6.1
2.8176923076923077,46.5,6.0,5.6
1.8836363636363636,46.5,6.0,2.8
4.33,46.5,6.0,2.1
3.994615384615385,46.5,6.0,0.0
6.5344444444444445,46.5,6.0,0.0
17.81533333333333,46.5,-6.0,20.36
7.51,46.5,-6.0,4.2
7.515714285714286,46.5,-6.0,7.5
11.342727272727274,46.5,-6.0,5.1
14.223333333333334,46.5,-6.0,10.2
2.83,46.5,-6.0,1.8
4.86,46.5,-6.0,1.1
0.45,46.5,-6.0,0.9
0.11000000000000001,46.5,-6.0,0.6
0.77,46.5,-6.0,0.0
3.7000000000000006,43.5,-1.0,2.6799999999999997
12.611333333333333,43.5,-1.0,1.62
7.11923076923077,43.5,-1.0,23.0
10.104000000000001,43.5,-1.0,3.1
7.992307692307692,43.5,-1.0,6.2
5.2,43.5,-1.0,5.2
1.3515384615384616,43.5,-1.0,3.7
3.4230769230769234,43.5,-1.0,1.7
3.210769230769231,43.5,-1.0,1.2
4.17,43.5,-1.0,0.0
14.802,43.5,1.0,13.6
6.707692307692308,43.5,1.0,6.1
10.379999999999999,43.5,1.0,6.6
10.116,43.5,1.0,3.8
7.033333333333333,43.5,1.0,10.6
3.9299999999999997,43.5,1.0,3.8
4.748666666666667,43.5,1.0,2.6
1.046153846153846,43.5,1.0,1.1
15.686545454545456,47.5,-1.0,16.52
14.258181818181818,47.5,-1.0,26.9
11.265555555555554,47.5,-1.0,7.199999999999999
5.9799999999999995,47.5,-1.0,4.4
10.409230769230769,47.5,-1.0,2.6
0.72,47.5,-1.0,0.9
3.6730769230769234,47.5,-1.0,0.4
5.59,47.5,-1.0,0.3
6.25,47.5,-1.0,0.9000000000000001
20.194153846153846,47.5,1.0,19.459999999999997
3.1738461538461546,47.5,1.0,6.1
5.8707692307692305,47.5,1.0,5.199999999999999
0.9,47.5,1.0,0.9
5.746666666666666,47.5,1.0,4.0
3.3554545454545455,47.5,1.0,5.9
10.816153846153846,47.5,1.0,5.1
12.232727272727272,47.5,1.0,4.6
3.2676923076923075,47.5,1.0,1.8
2.653076923076923,47.5,1.0,1.8
3.8114285714285714,47.5,1.0,1.3
26.27276923076923,48.0,3.5,28.340000000000003
18.566363636363636,48.0,3.5,4.9
4.533076923076923,48.0,3.5,4.0
15.706923076923076,48.0,3.5,17.299999999999997
1.0715384615384616,48.0,3.5,3.6
7.31,48.0,3.5,2.1
4.163846153846154,48.0,3.5,1.5
13.227692307692307,48.0,3.5,0.6
1.5,48.0,3.5,0.1
1.6530769230769233,48.0,3.5,0.0
18.934307692307694,48.0,-3.5,26.96
20.15,48.0,-3.5,16.6
9.083846153846155,48.0,-3.5,12.6
2.1566666666666667,48.0,-3.5,2.0
0.04,48.0,-3.5,0.1
11.147692307692306,48.0,-3.5,10.8
7.320769230769231,48.0,-3.5,8.1
1.9115384615384614,48.0,-3.5,2.1
2.903076923076923,48.0,-3.5,1.6
6.483846153846153,48.0,-3.5,0.8
16.577384615384616,42.5,2.5,6.699999999999999
17.108461538461537,42.5,2.5,20.6
1.0,42.5,2.5,0.5
5.09,42.5,2.5,0.1
4.663076923076923,42.5,2.5,7.3
1.55,42.5,2.5,2.7
2.5892307692307694,42.5,2.5,2.0
3.3566666666666665,42.5,2.5,1.8
3.571538461538462,42.5,2.5,0.9
0.6,42.5,2.5,0.6
1.04,42.5,2.5,0.0
20.14553846153846,42.5,-2.5,24.240000000000002
17.894615384615385,42.5,-2.5,7.5
2.0966666666666667,42.5,-2.5,3.5
6.811538461538462,42.5,-2.5,0.3
1.0330769230769232,42.5,-2.5,12.1
6.38,42.5,-2.5,4.1
5.8966666666666665,42.5,-2.5,3.3
3.043846153846154,42.5,-2.5,2.3
3.2333333333333334,42.5,-2.5,1.5
1.6199999999999999,42.5,-2.5,0.4
18.33533333333333,42.5,3.0,20.42
10.110000000000001,42.5,3.0,5.8999999999999995
