player_team_offense_ranking,player_fantasy_avg,weather,opp_team_defense_ranking,f_points_earned
29,14.48646153846154,69,18,6.219999999999999
29,10.67,69,18,16.9
29,5.242307692307692,69,18,7.9
29,5.566923076923078,69,18,1.7
29,5.82,69,18,1.8
29,9.119230769230768,69,18,18.0
29,5.463333333333334,69,18,2.3
29,0.9815384615384616,69,18,2.0
29,4.59,69,18,1.1
12,14.789333333333332,82,32,17.84
12,9.360000000000001,82,32,9.0
12,4.5138461538461545,82,32,16.4
12,2.05,82,32,3.8
12,6.685076923076923,82,32,0.6
12,1.43,82,32,1.1
12,7.507692307692308,82,32,9.2
12,5.7446153846153845,82,32,5.6
12,4.931538461538461,82,32,5.4
12,1.52,82,32,2.6
12,3.8730769230769235,82,32,1.7
17,15.686545454545456,82,1,26.6
17,14.258181818181818,82,1,8.700000000000001
17,6.25,82,1,4.2
17,10.409230769230769,82,1,9.1
17,11.265555555555554,82,1,6.9
17,3.6730769230769234,82,1,4.5
17,5.9799999999999995,82,1,2.3
17,0.72,82,1,1.1
17,0.16999999999999998,82,1,0.0
17,5.59,82,1,0.5
20,8.87,91,30,15.66
20,4.463636363636364,91,30,20.5
20,4.406923076923078,91,30,0.9999999999999998
20,9.1,91,30,14.700000000000001
20,5.005692307692308,91,30,9.0
20,10.58923076923077,91,30,9.4
20,0.74,91,30,5.7
20,1.06,91,30,3.9
20,0.37,91,30,0.0
9,19.732,91,13,29.979999999999997
9,7.923846153846153,91,13,2.9000000000000004
9,2.516153846153846,91,13,3.5999999999999996
9,0.6799999999999999,91,13,0.9
9,9.777272727272727,91,13,12.9
9,8.65,91,13,9.6
9,11.279999999999998,91,13,6.300000000000001
9,6.9923076923076914,91,13,5.6
9,7.213846153846153,91,13,0.8
5,18.934307692307694,83,20,22.740000000000002
5,9.083846153846155,83,20,9.8
5,20.15,83,20,18.6
5,11.147692307692306,83,20,6.7
5,1.9115384615384614,83,20,5.5
5,6.483846153846153,83,20,4.8
5,7.320769230769231,83,20,2.7
5,-1.3333333333333333,83,20,0.0
5,2.903076923076923,83,20,0.0
5,0.21000000000000002,83,20,0.0
5,0.18,83,20,-0.1
31,13.792,83,8,13.0
31,6.74,83,8,6.8
31,4.493333333333334,83,8,15.7
31,2.21,83,8,1.2999999999999998
31,5.392307692307693,83,8,6.3
31,4.2,83,8,3.0
31,1.488181818181818,83,8,2.9
31,0.48,83,8,2.4
31,3.45,83,8,1.9
31,1.5633333333333332,83,8,0.7
31,0.8300000000000001,83,8,0.7
31,1.31,83,8,0.0
10,20.14553846153846,78,29,27.599999999999998
10,17.894615384615385,78,29,13.899999999999999
10,2.0966666666666667,78,29,3.1
10,6.811538461538462,78,29,5.8
10,1.0330769230769232,78,29,0.4
10,6.38,78,29,7.7
10,3.043846153846154,78,29,6.2
10,3.2333333333333334,78,29,3.3
10,1.6199999999999999,78,29,1.0
14,20.55076923076923,78,25,42.68000000000001
14,9.273076923076923,78,25,12.5
14,4.982307692307693,78,25,5.3999999999999995
14,8.644615384615385,78,25,6.7
14,13.079999999999998,78,25,6.4
14,6.126153846153846,78,25,5.9
14,1.3776923076923075,78,25,3.0
14,1.1,78,25,1.0
14,-0.95,78,25,0.0
14,6.150769230769232,78,25,1.5
1,26.27276923076923,80,16,38.839999999999996
1,18.566363636363636,80,16,8.0
1,7.31,80,16,13.1
1,4.533076923076923,80,16,0.3
1,13.227692307692307,80,16,10.9
1,15.706923076923076,80,16,9.0
1,4.163846153846154,80,16,-0.30000000000000004
1,1.8115384615384618,80,16,0.3
1,1.6530769230769233,80,16,0.2
4,20.794923076923073,80,28,42.98
4,17.303333333333335,80,28,18.5
4,2.0138461538461536,80,28,1.9
4,1.48,80,28,0.7
4,4.103076923076923,80,28,13.8
4,12.35923076923077,80,28,12.1
4,13.718461538461538,80,28,6.7
4,5.406666666666666,80,28,2.6
4,0.27999999999999997,80,28,1.9
4,1.3454545454545455,80,28,1.4
11,18.37492307692308,81,4,22.799999999999997
11,11.273333333333333,81,4,7.0
11,5.3330769230769235,81,4,3.6
11,10.618571428571428,81,4,11.3
11,12.646153846153847,81,4,11.0
11,4.57,81,4,4.5
11,1.48,81,4,2.1
11,2.57,81,4,1.9
11,3.4361538461538466,81,4,0.0
27,3.7000000000000006,81,6,8.879999999999999
27,10.104000000000001,81,6,5.92
27,0.5116923076923077,81,6,6.640000000000001
27,7.11923076923077,81,6,4.3
27,1.3966666666666665,81,6,6.6
27,7.992307692307692,81,6,5.5
27,4.17,81,6,3.2
27,1.3515384615384616,81,6,1.5
27,3.4230769230769234,81,6,1.4
27,0.37,81,6,0.8
21,14.802,80,22,17.119999999999997
21,10.379999999999999,80,22,19.0
21,6.707692307692308,80,22,4.4
